How is Discrete Probability Space&nbsp;defined?	(Ω, P(Ω), P)		
What are the properties of a probability measure?	"<img src=""paste-d3ec1b04c8797328459b058c8ceefbc1bd9ff23b.jpg"">"		
What is a Random Variable?	the mapping&nbsp;\(X: P(\Omega) \rightarrow \mathbb{R}\)		
&nbsp;What is an important stochastic property?	The <i>expectation </i>of \(X\) is defined as<div>\(E(X) = \sum_{\omega \in \Omega} X(\omega) P(\omega)\)<br></div>		
How is the kth central moment defined?	<div>The kth central moment&nbsp;\(M_k(X)\) is defined as</div>\(M_k(X) = \sum_{\omega \in \Omega} \left (X(\omega) -E(X) \right)^k P(\omega)\)		
What do we have in real life? Do we always have discrete probability spaces?			
What is the problem of continuous probability spaces?&nbsp;How is it solved?	probability of single event --&gt; 0<div><br></div><div>solved with σ-algebras</div>		
What is the definition of σ -algebras?	"<img src=""paste-3c788793cb0732f08ceb4538dd8e6b555e7f768c.jpg"">"		
Definition of signal and noise?	~s(t) = s(t) + g		
State the four working hypotheses of signal denoising and filtering!	"H1: The signal s is <b>continuous</b>.<div>H2: Noise has <b>zero mean</b>: E(g) = 0 and limited standard deviation σ(g) = σ&nbsp;<span style=""color: rgb(32, 33, 34); font-family: sans-serif; font-size: 14px;"">∈ [0; ^σ]</span></div>"		
How to make sure that noise is zero mean?	calibration		
Name two ways to reduce noise as discussed in the lectures!	moving average, savitzky golay		
Describe the Savitzki-Golay-Method!	Points in window, polynomial, least squares		
What does the abbreviation hdf5 mean?	Hierarchical Data Format 5 (HDF5)		
What are desired properties of data (file) formats?	"<div>- general datatypes (format; dimension)</div> <div>- extensible; modifiable (add/remove datasets)</div> <div>- ""unlimited"" dimension of the data</div> <div>- ""unlimited'' size of the dataset</div> <div>- structured (e.g. hierarchical)</div> <div>- allow for attributes and metadata</div> <div>- platform independent</div> <div>- API for different programming languages</div> <div>- symbolic links for improved data structuring</div>"		
What are essential requirements of data (file) formats?	- store/restore data objects<div>- store/restore description of data (<i>metadata</i>)</div><div>- specify the layout of the data</div>		
What are features of HDF5?	- data model can represent <b>complex data objects</b><div>- a wide variety of <b>metadata </b>can be captured</div><div>- <b>completely portable</b> format</div><div>- <b>unlimited&nbsp;number </b>and <b>size </b>of data objects</div><div>- <b>high-level API</b> for C, C++, Fortran 90, Java and Python</div><div>- integrated performance features that allow for access time and storage space optimizations (including e.g. parallelization)</div><div>- tools and applications for managing, manipulating, viewing, and analyzing the data in the collection</div>		
Describe the conceptual layout of HDF5!	"<img src=""paste-26944015c4770964f4869aafa70f87ef406498cf.jpg""><div><br></div><div><b>Groups:</b></div><div>- possible children: groups and datasets</div><div>- in principal, each group can be considered as a HDF5 object in itself<br></div><div><b>Datasets:</b></div><div>- contain actual data</div><div>- examples: text, image, vectors, matrices, tensors, binary data<br></div><div><b>Attributes:</b></div><div>- can be associated to HDF5 objects (Groups, Datasets)</div><div>- consist of: { Name, Value }</div><div>- typically small in size; contain metadata describing the independent objects</div><div>- attributes have a datatype and dataspace</div><div>- attention: no partial I/O, compression, extension! (in contrast to datasets)<b><br></b></div>"		
What are important properties of HDF5?	"<div>- hierarchical format</div><div>- mimics a UNIX file system</div><div>- number and size of datasets unlimited<br></div><div>- trees can interconnect</div><div><br></div><img src=""paste-752096bc4b28a85a1e0c2c0548ecf3cfad11e843.jpg"">"		
